"Hospital.Name","Provider.ID","Address","City","State","ZIP.Code","Full","lon","lat"
"SAINT FRANCIS BARTLETT MEDICAL CENTER",440228,"2986 KATE BOND RD","BARTLETT","TN",38133,"2986 KATE BOND RD, BARTLETT, TN, 38133, USA",-89.790801,35.221361
"ST JOSEPH REGIONAL HEALTH CENTER",450011,"2801 FRANCISCAN DR","BRYAN","TX",77802,"2801 FRANCISCAN DR, BRYAN, TX, 77802, USA",-96.34665,30.655566
"UNIVERSITY OF TEXAS MEDICAL BRANCH",450018,"301 UNIVERSITY BOULEVARD","GALVESTON","TX",77555,"301 UNIVERSITY BOULEVARD, GALVESTON, TX, 77555, USA",-94.775875,29.311422
"LAREDO MEDICAL CENTER",450029,"1700 EAST SAUNDERS","LAREDO","TX",78044,"1700 EAST SAUNDERS, LAREDO, TX, 78044, USA",-99.441615,27.528138
"CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH",450034,"2830 CALDER AVENUE","BEAUMONT","TX",77702,"2830 CALDER AVENUE, BEAUMONT, TX, 77702, USA",-94.131094,30.085668
"JPS HEALTH NETWORK",450039,"1500 S MAIN ST","FORT WORTH","TX",76104,"1500 S MAIN ST, FORT WORTH, TX, 76104, USA",-97.326406,32.728194
"COVENANT MEDICAL CENTER",450040,"3615 19TH STREET","LUBBOCK","TX",79410,"3615 19TH STREET, LUBBOCK, TX, 79410, USA",-101.892503,33.577736
"SCOTT & WHITE MEDICAL CENTER - TEMPLE",450054,"2401 S  31ST ST","TEMPLE","TX",76508,"2401 S  31ST ST, TEMPLE, TX, 76508, USA",-97.36613,31.077931
"BAPTIST MEDICAL CENTER",450058,"111 DALLAS STREET","SAN ANTONIO","TX",78205,"111 DALLAS STREET, SAN ANTONIO, TX, 78205, USA",-98.492744,29.432907
"EAST TEXAS MEDICAL CENTER",450083,"1000 SOUTH BECKHAM STREET","TYLER","TX",75701,"1000 SOUTH BECKHAM STREET, TYLER, TX, 75701, USA",-95.291907,32.338727
"DELL SETON  MED CENTER AT THE UNIVERSITY OF TX",450124,"601 E 15TH STREET","AUSTIN","TX",78701,"601 E 15TH STREET, AUSTIN, TX, 78701, USA",-97.733841,30.275216
"TEXAS HEALTH HARRIS METHODIST FORT WORTH",450135,"1301 PENNSYLVANIA AVENUE","FORT WORTH","TX",76104,"1301 PENNSYLVANIA AVENUE, FORT WORTH, TX, 76104, USA",-97.339312,32.738489
"BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER",450137,"1400 EIGHTH AVE","FORT WORTH","TX",76104,"1400 EIGHTH AVE, FORT WORTH, TX, 76104, USA",-97.343699,32.729383
"MEMORIAL HERMANN HOSPITAL SYSTEM",450184,"1635  NORTH LOOP WEST","HOUSTON","TX",77008,"1635  NORTH LOOP WEST, HOUSTON, TX, 77008, USA",-95.429746,29.812309
"NORTHWEST TEXAS HOSPITAL",450209,"1501 COULTER ROAD","AMARILLO","TX",79106,"1501 COULTER ROAD, AMARILLO, TX, 79106, USA",-101.920338,35.18622
"UNIVERSITY HEALTH SYSTEM",450213,"4502 MEDICAL DR","SAN ANTONIO","TX",78229,"4502 MEDICAL DR, SAN ANTONIO, TX, 78229, USA",-98.573945,29.509082
"ST DAVID'S MEDICAL CENTER",450431,"919 E 32ND ST","AUSTIN","TX",78705,"919 E 32ND ST, AUSTIN, TX, 78705, USA",-97.724903,30.29007
"CLEAR LAKE REGIONAL MEDICAL CENTER",450617,"500 MEDICAL CENTER BLVD","WEBSTER","TX",77598,"500 MEDICAL CENTER BLVD, WEBSTER, TX, 77598, USA",-95.129514,29.53885
"MEDICAL CENTER OF PLANO",450651,"3901 W 15TH ST","PLANO","TX",75075,"3901 W 15TH ST, PLANO, TX, 75075, USA",-96.765944,33.019426
"UNIVERSITY MEDICAL CENTER",450686,"602 INDIANA AVENUE","LUBBOCK","TX",79415,"602 INDIANA AVENUE, LUBBOCK, TX, 79415, USA",-101.887698,33.590678
"UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY",450766,"5151 HARRY HINES BLVD","DALLAS","TX",75390,"5151 HARRY HINES BLVD, DALLAS, TX, 75390, USA",-96.84065,32.814164
"KINGWOOD MEDICAL CENTER",450775,"22999 US HWY 59","KINGWOOD","TX",77325,"22999 US HWY 59, KINGWOOD, TX, 77325, USA",-95.233435,30.112816
"MCKAY DEE HOSPITAL",460004,"4401 HARRISON BOULEVARD","OGDEN","UT",84403,"4401 HARRISON BOULEVARD, OGDEN, UT, 84403, USA",-111.949167,41.183293
"INTERMOUNTAIN MEDICAL CENTER",460010,"5121 SOUTH COTTONWOOD STREET","MURRAY","UT",84107,"5121 SOUTH COTTONWOOD STREET, MURRAY, UT, 84107, USA",-111.899622,40.632722
"WINCHESTER MEDICAL CENTER",490005,"1840 AMHERST ST","WINCHESTER","VA",22601,"1840 AMHERST ST, WINCHESTER, VA, 22601, USA",-78.19384,39.191249
"CENTRA  HEALTH, INC",490021,"1901 TATE SPRINGS ROAD","LYNCHBURG","VA",24501,"1901 TATE SPRINGS ROAD, LYNCHBURG, VA, 24501, USA",-79.171139,37.419951
"MARY WASHINGTON HOSPITAL, INC",490022,"1001 SAM PERRY BOULEVARD","FREDERICKSBURG","VA",22401,"1001 SAM PERRY BOULEVARD, FREDERICKSBURG, VA, 22401, USA",-77.482131,38.309936
"CARILION ROANOKE MEMORIAL HOSPITAL",490024,"1906 BELLEVIEW AVENUE, SE","ROANOKE","VA",24014,"1906 BELLEVIEW AVENUE, SE, ROANOKE, VA, 24014, USA",-79.898263,37.260165
"RIVERSIDE REGIONAL MEDICAL CENTER",490052,"500 J CLYDE MORRIS BLVD","NEWPORT NEWS","VA",23601,"500 J CLYDE MORRIS BLVD, NEWPORT NEWS, VA, 23601, USA",-76.485627,37.06398
"CJW MEDICAL CENTER",490112,"7101 JAHNKE ROAD","RICHMOND","VA",23235,"7101 JAHNKE ROAD, RICHMOND, VA, 23235, USA",-77.537191,37.518193
"HENRICO DOCTORS' HOSPITAL",490118,"1602 SKIPWITH ROAD","RICHMOND","VA",23229,"1602 SKIPWITH ROAD, RICHMOND, VA, 23229, USA",-77.537787,37.601971
"SWEDISH MEDICAL CENTER / CHERRY HILL",500025,"500 17TH AVENUE","SEATTLE","WA",98122,"500 17TH AVENUE, SEATTLE, WA, 98122, USA",-122.310251,47.606173
"HARBORVIEW MEDICAL CENTER",500064,"325 9TH AVENUE","SEATTLE","WA",98104,"325 9TH AVENUE, SEATTLE, WA, 98104, USA",-122.323377,47.604051
"WEST VIRGINIA UNIVERSITY HOSPITALS",510001,"MEDICAL CENTER DRIVE","MORGANTOWN","WV",26506,"MEDICAL CENTER DRIVE, MORGANTOWN, WV, 26506, USA",-79.965639,39.650396
"CHARLESTON AREA MEDICAL CENTER",510022,"501 MORRIS STREET","CHARLESTON","WV",25301,"501 MORRIS STREET, CHARLESTON, WV, 25301, USA",-81.625732,38.347457
"CABELL HUNTINGTON HOSPITAL INC",510055,"1340 HAL GREER BOULEVARD","HUNTINGTON","WV",25701,"1340 HAL GREER BOULEVARD, HUNTINGTON, WV, 25701, USA",-82.428226,38.409095
"UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY",520098,"600 HIGHLAND AVENUE","MADISON","WI",53792,"600 HIGHLAND AVENUE, MADISON, WI, 53792, USA",-89.429199,43.077708
"WHEATON FRANCISCAN - ST JOSEPH",520136,"5000 W CHAMBERS ST","MILWAUKEE","WI",53210,"5000 W CHAMBERS ST, MILWAUKEE, WI, 53210, USA",-87.976093,43.073459
"FROEDTERT MEMORIAL LUTHERAN HOSPITAL",520177,"9200 W WISCONSIN AVE","MILWAUKEE","WI",53226,"9200 W WISCONSIN AVE, MILWAUKEE, WI, 53226, USA",-88.027779,43.038291
"THE HEART HOSPITAL BAYLOR PLANO",670025,"1100 ALLIED DRIVE","PLANO","TX",75093,"1100 ALLIED DRIVE, PLANO, TX, 75093, USA",-96.704629,32.940548
"ST VINCENT'S EAST",10011,"50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL",35235,"50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL, 35235, USA",-86.680964,33.586756
"D C H REGIONAL MEDICAL CENTER",10092,"809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL",35401,"809 UNIVERSITY BOULEVARD EAST, TUSCALOOSA, AL, 35401, USA",-87.527141,33.206282
"SPRINGHILL MEMORIAL HOSPITAL",10144,"3719 DAUPHIN STREET","MOBILE","AL",36608,"3719 DAUPHIN STREET, MOBILE, AL, 36608, USA",-88.140023,30.685488
"YUMA REGIONAL MEDICAL CENTER",30013,"2400 SOUTH AVENUE A","YUMA","AZ",85364,"2400 SOUTH AVENUE A, YUMA, AZ, 85364, USA",-114.633258,32.683951
"ST ROSE HOSPITAL",50002,"27200 CALAROGA AVE","HAYWARD","CA",94545,"27200 CALAROGA AVE, HAYWARD, CA, 94545, USA",-122.089711,37.632897
"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER",50063,"1300 N VERMONT AVE","LOS ANGELES","CA",90027,"1300 N VERMONT AVE, LOS ANGELES, CA, 90027, USA",-118.29175,34.095548
"ST MARY MEDICAL CENTER",50191,"1050 LINDEN AVE","LONG BEACH","CA",90813,"1050 LINDEN AVE, LONG BEACH, CA, 90813, USA",-118.186621,33.77996
"POMONA VALLEY HOSPITAL MEDICAL CENTER",50231,"1798 N GAREY AVE","POMONA","CA",91767,"1798 N GAREY AVE, POMONA, CA, 91767, USA",-117.752426,34.078514
"PROVIDENCE SAINT JOSEPH MEDICAL CTR",50235,"501 SOUTH BUENA VISTA","BURBANK","CA",91505,"501 SOUTH BUENA VISTA, BURBANK, CA, 91505, USA",-118.346937,34.173885
"METHODIST HOSPITAL OF SOUTHERN CA",50238,"300 W HUNTINGTON DR","ARCADIA","CA",91006,"300 W HUNTINGTON DR, ARCADIA, CA, 91006, USA",-118.039376,34.135563
"GLENDALE ADVENTIST MEDICAL CENTER",50239,"1509 E WILSON TERRACE","GLENDALE","CA",91206,"1509 E WILSON TERRACE, GLENDALE, CA, 91206, USA",-118.231416,34.149698
"TORRANCE MEMORIAL MEDICAL CENTER",50351,"3330 LOMITA BLVD","TORRANCE","CA",90509,"3330 LOMITA BLVD, TORRANCE, CA, 90509, USA",-118.343585,33.812621
"NORTHBAY MEDICAL CENTER",50367,"1200 B  GALE WILSON BLVD","FAIRFIELD","CA",94533,"1200 B  GALE WILSON BLVD, FAIRFIELD, CA, 94533, USA",-122.049897,38.261081
"WEST ANAHEIM MEDICAL CENTER",50426,"3033 W ORANGE AVENUE","ANAHEIM","CA",92804,"3033 W ORANGE AVENUE, ANAHEIM, CA, 92804, USA",-117.994884,33.824809
"DOCTORS MEDICAL CENTER",50464,"1441 FLORIDA AVENUE","MODESTO","CA",95350,"1441 FLORIDA AVENUE, MODESTO, CA, 95350, USA",-120.996216,37.665517
"GOOD SAMARITAN HOSPITAL",50471,"1225 WILSHIRE BOULEVARD","LOS ANGELES","CA",90017,"1225 WILSHIRE BOULEVARD, LOS ANGELES, CA, 90017, USA",-118.26518,34.053257
"WEST HILLS HOSPITAL & MEDICAL CENTER",50481,"7300 MEDICAL CENTER DR","WEST HILLS","CA",91307,"7300 MEDICAL CENTER DR, WEST HILLS, CA, 91307, USA",-118.629727,34.203716
"LONG BEACH MEMORIAL MEDICAL CENTER",50485,"2801 ATLANTIC AVE","LONG BEACH","CA",90806,"2801 ATLANTIC AVE, LONG BEACH, CA, 90806, USA",-118.185011,33.808008
"SAINT VINCENT MEDICAL CENTER",50502,"2131 W 3RD ST","LOS ANGELES","CA",90057,"2131 W 3RD ST, LOS ANGELES, CA, 90057, USA",-118.272918,34.063015
"OLYMPIA MEDICAL CENTER",50742,"5900 WEST OLYMPIC BOULEVARD","LOS ANGELES","CA",90036,"5900 WEST OLYMPIC BOULEVARD, LOS ANGELES, CA, 90036, USA",-118.359856,34.057519
"PROVIDENCE TARZANA MEDICAL CENTER",50761,"18321 CLARK STREET","TARZANA","CA",91356,"18321 CLARK STREET, TARZANA, CA, 91356, USA",-118.532884,34.169848
"COAST PLAZA HOSPITAL",50771,"13100 STUDERBAKER ROAD","NORWALK","CA",90650,"13100 STUDERBAKER ROAD, NORWALK, CA, 90650, USA",-118.096178,33.919737
"GREENWICH HOSPITAL ASSOCIATION -",70018,"5 PERRYRIDGE RD","GREENWICH","CT",6830,"5 PERRYRIDGE RD, GREENWICH, CT, 6830, USA",-76.185919,42.632627
"HOWARD UNIVERSITY HOSPITAL",90003,"2041 GEORGIA AVE NW","WASHINGTON","DC",20060,"2041 GEORGIA AVE NW, WASHINGTON, DC, 20060, USA",-77.021821,38.917805
"PROVIDENCE HOSPITAL",90006,"1150 VARNUM ST NE","WASHINGTON","DC",20017,"1150 VARNUM ST NE, WASHINGTON, DC, 20017, USA",-76.992628,38.942865
"UNITED MEDICAL CENTER",90008,"1310 SOUTHERN AVENUE  SE","WASHINGTON","DC",20032,"1310 SOUTHERN AVENUE  SE, WASHINGTON, DC, 20032, USA",-76.982404,38.835954
"BAPTIST HOSPITAL OF MIAMI",100008,"8900 N KENDALL DR","MIAMI","FL",33176,"8900 N KENDALL DR, MIAMI, FL, 33176, USA",-80.340591,25.687794
"BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM",100026,"615 N BONITA AVE","PANAMA CITY","FL",32401,"615 N BONITA AVE, PANAMA CITY, FL, 32401, USA",-85.647149,30.159079
"ST VINCENT'S MEDICAL CENTER RIVERSIDE",100040,"1 SHIRCLIFF WAY","JACKSONVILLE","FL",32204,"1 SHIRCLIFF WAY, JACKSONVILLE, FL, 32204, USA",-81.779544,30.273918
"OSCEOLA REGIONAL MEDICAL CENTER",100110,"700 WEST OAK STREET","KISSIMMEE","FL",34741,"700 WEST OAK STREET, KISSIMMEE, FL, 34741, USA",-81.410846,28.300825
"NORTH FLORIDA REGIONAL MEDICAL CENTER",100204,"6500 NEWBERRY RD","GAINESVILLE","FL",32605,"6500 NEWBERRY RD, GAINESVILLE, FL, 32605, USA",-82.410587,29.659715
"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM",100220,"13681 DOCTORS WAY","FORT MYERS","FL",33912,"13681 DOCTORS WAY, FORT MYERS, FL, 33912, USA",-81.851559,26.543181
"SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS",110025,"2415 PARKWOOD DRIVE","BRUNSWICK","GA",31520,"2415 PARKWOOD DRIVE, BRUNSWICK, GA, 31520, USA",-81.485339,31.173968
"ST JOSEPH'S HOSPITAL - SAVANNAH",110043,"11705 MERCY BOULEVARD","SAVANNAH","GA",31419,"11705 MERCY BOULEVARD, SAVANNAH, GA, 31419, USA",-81.153256,31.986548
"COLISEUM MEDICAL CENTERS",110164,"350 HOSPITAL DRIVE","MACON","GA",31217,"350 HOSPITAL DRIVE, MACON, GA, 31217, USA",-83.61793,32.845818
"METHODIST HOSPITALS INC",150002,"600 GRANT ST","GARY","IN",46402,"600 GRANT ST, GARY, IN, 46402, USA",-87.356415,41.592126
"FRANCISCAN HEALTH HAMMOND",150004,"5454 HOHMAN AVE","HAMMOND","IN",46320,"5454 HOHMAN AVE, HAMMOND, IN, 46320, USA",-87.522092,41.614515
"TERREBONNE GENERAL MEDICAL CENTER",190008,"8166 MAIN STREET","HOUMA","LA",70360,"8166 MAIN STREET, HOUMA, LA, 70360, USA",-90.71441,29.59846
"ST FRANCIS MEDICAL CENTER",190125,"309 JACKSON STREET","MONROE","LA",71201,"309 JACKSON STREET, MONROE, LA, 71201, USA",-92.114935,32.500135
"SUBURBAN HOSPITAL",210022,"8600 OLD GEORGETOWN ROAD","BETHESDA","MD",20814,"8600 OLD GEORGETOWN ROAD, BETHESDA, MD, 20814, USA",-77.109031,38.996561
"JOHNS HOPKINS BAYVIEW MEDICAL CENTER",210029,"4940 EASTERN AVENUE","BALTIMORE","MD",21224,"4940 EASTERN AVENUE, BALTIMORE, MD, 21224, USA",-76.554697,39.287196
"UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS",210038,"827 LINDEN AVENUE","BALTIMORE","MD",21201,"827 LINDEN AVENUE, BALTIMORE, MD, 21201, USA",-76.620764,39.300421
"NORTHWEST HOSPITAL CENTER",210040,"5401 OLD COURT ROAD","RANDALLSTOWN","MD",21133,"5401 OLD COURT ROAD, RANDALLSTOWN, MD, 21133, USA",-76.816675,39.377872
"UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER",210043,"301 HOSPITAL DRIVE","GLEN BURNIE","MD",21061,"301 HOSPITAL DRIVE, GLEN BURNIE, MD, 21061, USA",-76.626746,39.140428
"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER",210062,"7503 SURRATTS ROAD","CLINTON","MD",20735,"7503 SURRATTS ROAD, CLINTON, MD, 20735, USA",-76.878791,38.750187
"HENRY FORD ALLEGIANCE HEALTH",230092,"205 N EAST AVE","JACKSON","MI",49201,"205 N EAST AVE, JACKSON, MI, 49201, USA",-84.393896,42.25144
"GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK",230197,"ONE GENESYS PARKWAY","GRAND BLANC","MI",48439,"ONE GENESYS PARKWAY, GRAND BLANC, MI, 48439, USA",-83.640596,42.889859
"MAYO CLINIC HEALTH SYSTEM - MANKATO",240093,"1025 MARSH STREET","MANKATO","MN",56001,"1025 MARSH STREET, MANKATO, MN, 56001, USA",-93.984819,44.164509
"MISSISSIPPI BAPTIST MEDICAL CENTER",250102,"1225 N STATE ST","JACKSON","MS",39202,"1225 N STATE ST, JACKSON, MS, 39202, USA",-90.17822,32.313986
"ANDERSON REGIONAL MEDICAL CTR",250104,"2124 14 ST","MERIDIAN","MS",39301,"2124 14 ST, MERIDIAN, MS, 39301, USA",-88.686466,32.370857
"MERCY HOSPITAL JOPLIN",260001,"100 MERCY WAY","JOPLIN","MO",64804,"100 MERCY WAY, JOPLIN, MO, 64804, USA",-94.50942,37.022425
"MERCY HOSPITAL JEFFERSON",260023,"1400 HIGHWAY 61 SOUTH","CRYSTAL CITY","MO",63019,"1400 HIGHWAY 61 SOUTH, CRYSTAL CITY, MO, 63019, USA",-90.39208,38.23458
"VALLEY HOSPITAL MEDICAL CENTER",290021,"620 SHADOW LANE","LAS VEGAS","NV",89106,"620 SHADOW LANE, LAS VEGAS, NV, 89106, USA",-115.165521,36.163893
"MOUNTAINVIEW HOSPITAL",290039,"3100 N TENAYA WAY","LAS VEGAS","NV",89128,"3100 N TENAYA WAY, LAS VEGAS, NV, 89128, USA",-115.250889,36.216057
"SUMMERLIN HOSPITAL MEDICAL CENTER",290041,"657 TOWN CENTER DRIVE","LAS VEGAS","NV",89144,"657 TOWN CENTER DRIVE, LAS VEGAS, NV, 89144, USA",-115.32432,36.165858
"SPRING VALLEY HOSPITAL MEDICAL CENTER",290046,"5400 SOUTH RAINBOW BLVD","LAS VEGAS","NV",89118,"5400 SOUTH RAINBOW BLVD, LAS VEGAS, NV, 89118, USA",-115.242806,36.090745
"SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER",290047,"9300 WEST SUNSET RD","LAS VEGAS","NV",89148,"9300 WEST SUNSET RD, LAS VEGAS, NV, 89148, USA",-115.295501,36.070243
"CENTENNIAL HILLS HOSPITAL MEDICAL CENTER",290054,"6900 N DURANGO DR","LAS VEGAS","NV",89149,"6900 N DURANGO DR, LAS VEGAS, NV, 89149, USA",-115.287849,36.288173
"HUNTERDON MEDICAL CENTER",310005,"2100 WESCOTT DRIVE","FLEMINGTON","NJ",8822,"2100 WESCOTT DRIVE, FLEMINGTON, NJ, 8822, USA",-74.858585,40.531128
"ST MARY'S GENERAL HOSPITAL",310006,"350 BOULEVARD","PASSAIC","NJ",7055,"350 BOULEVARD, PASSAIC, NJ, 7055, USA",-74.137104,40.858323
"HOLY NAME MEDICAL CENTER",310008,"718 TEANECK RD","TEANECK","NJ",7666,"718 TEANECK RD, TEANECK, NJ, 7666, USA",-74.01597,40.8976
"CAREPOINT HEALTH-CHRIST HOSPITAL",310016,"176 PALISADE AVE","JERSEY CITY","NJ",7306,"176 PALISADE AVE, JERSEY CITY, NJ, 7306, USA",-74.050738,40.734017
"CHILTON MEDICAL CENTER",310017,"97 WEST PARKWAY","POMPTON PLAINS","NJ",7444,"97 WEST PARKWAY, POMPTON PLAINS, NJ, 7444, USA",-74.308456,40.960336
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY",310024,"865 STONE ST","RAHWAY","NJ",7065,"865 STONE ST, RAHWAY, NJ, 7065, USA",-74.291536,40.612212
"TRINITAS REGIONAL MEDICAL CENTER",310027,"225 WILLIAMSON STREET","ELIZABETH","NJ",7207,"225 WILLIAMSON STREET, ELIZABETH, NJ, 7207, USA",-74.214452,40.659527
"INSPIRA MEDICAL CENTER VINELAND",310032,"1505 W SHERMAN AVE","VINELAND","NJ",8360,"1505 W SHERMAN AVE, VINELAND, NJ, 8360, USA",-75.056759,39.447355
"RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION",310039,"530 NEW BRUNSWICK AVE","PERTH AMBOY","NJ",8861,"530 NEW BRUNSWICK AVE, PERTH AMBOY, NJ, 8861, USA",-74.28218,40.519161
"COMMUNITY MEDICAL CENTER",310041,"99 RT 37 WEST","TOMS RIVER","NJ",8755,"99 RT 37 WEST, TOMS RIVER, NJ, 8755, USA",-74.217179,39.965474
"SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS",310050,"25 POCONO ROAD","DENVILLE","NJ",7834,"25 POCONO ROAD, DENVILLE, NJ, 7834, USA",-74.462852,40.894275
"HACKENSACK-UMC MOUNTAINSIDE",310054,"BAY AND HIGHLAND AVE","MONTCLAIR","NJ",7042,"BAY AND HIGHLAND AVE, MONTCLAIR, NJ, 7042, USA",-74.211655,40.84507
"VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY",310057,"175 MADISON AVE","MOUNT HOLLY","NJ",8060,"175 MADISON AVE, MOUNT HOLLY, NJ, 8060, USA",-74.433157,40.768295
"MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS",310084,"600 RIVER AVE","LAKEWOOD","NJ",8701,"600 RIVER AVE, LAKEWOOD, NJ, 8701, USA",-74.21735,40.074178
"KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV",310086,"18 EAST LAUREL ROAD","STRATFORD","NJ",8084,"18 EAST LAUREL ROAD, STRATFORD, NJ, 8084, USA",-75.011374,39.824936
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON",310110,"ONE HAMILTON HEALTH PLACE","HAMILTON","NJ",8690,"ONE HAMILTON HEALTH PLACE, HAMILTON, NJ, 8690, USA",-74.675147,40.216777
"PRESBYTERIAN HOSPITAL",320021,"1100 CENTRAL AVENUE SE","ALBUQUERQUE","NM",87106,"1100 CENTRAL AVENUE SE, ALBUQUERQUE, NM, 87106, USA",-106.636238,35.082704
"MOUNTAIN VIEW REGIONAL MEDICAL CENTER",320085,"4311 EAST LOHMAN AVENUE","LAS CRUCES","NM",88011,"4311 EAST LOHMAN AVENUE, LAS CRUCES, NM, 88011, USA",-106.728257,32.322727
"BRONX-LEBANON HOSPITAL CENTER",330009,"1276 FULTON AVENUE","BRONX","NY",10456,"1276 FULTON AVENUE, BRONX, NY, 10456, USA",-73.90385,40.831747
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",330019,"2525 KINGS HIGHWAY","BROOKLYN","NY",11229,"2525 KINGS HIGHWAY, BROOKLYN, NY, 11229, USA",-73.949022,40.613238
"VASSAR BROTHERS MEDICAL CENTER",330023,"45 READE PLACE","POUGHKEEPSIE","NY",12601,"45 READE PLACE, POUGHKEEPSIE, NY, 12601, USA",-73.934933,41.694463
"NASSAU UNIVERSITY MEDICAL CENTER",330027,"2201 HEMPSTEAD TURNPIKE","EAST MEADOW","NY",11554,"2201 HEMPSTEAD TURNPIKE, EAST MEADOW, NY, 11554, USA",-73.554412,40.725297
"BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS",330056,"121 DEKALB AVENUE","BROOKLYN","NY",11201,"121 DEKALB AVENUE, BROOKLYN, NY, 11201, USA",-73.977938,40.689806
"LINCOLN MEDICAL & MENTAL HEALTH CENTER",330080,"234 EAST 149TH STREET","BRONX","NY",10451,"234 EAST 149TH STREET, BRONX, NY, 10451, USA",-73.92395,40.817672
"NYACK HOSPITAL",330104,"160 NORTH MIDLAND AVENUE","NYACK","NY",10960,"160 NORTH MIDLAND AVENUE, NYACK, NY, 10960, USA",-73.925227,41.095369
"ELMHURST HOSPITAL CENTER",330128,"79-01 BROADWAY","ELMHURST","NY",11373,"79-01 BROADWAY, ELMHURST, NY, 11373, USA",-73.888279,40.745422
"BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER",330141,"101 HOSPITAL ROAD","PATCHOGUE","NY",11772,"101 HOSPITAL ROAD, PATCHOGUE, NY, 11772, USA",-72.977921,40.776548
"GOOD SAMARITAN HOSPITAL OF SUFFERN",330158,"255 LAFAYETTE AVENUE","SUFFERN","NY",10901,"255 LAFAYETTE AVENUE, SUFFERN, NY, 10901, USA",-74.136791,41.112338
"HIGHLAND HOSPITAL",330164,"1000 SOUTH AVENUE","ROCHESTER","NY",14620,"1000 SOUTH AVENUE, ROCHESTER, NY, 14620, USA",-77.607514,43.13574
"FLUSHING HOSPITAL MEDICAL CENTER",330193,"45TH AVENUE AND PARSONS BOULEVARD","FLUSHING","NY",11355,"45TH AVENUE AND PARSONS BOULEVARD, FLUSHING, NY, 11355, USA",-73.821767,40.76098
"KINGSBROOK JEWISH MEDICAL CENTER",330201,"585 SCHENECTADY AVENUE","BROOKLYN","NY",11203,"585 SCHENECTADY AVENUE, BROOKLYN, NY, 11203, USA",-73.93412,40.659957
"KINGS COUNTY HOSPITAL CENTER",330202,"451 CLARKSON AVENUE","BROOKLYN","NY",11203,"451 CLARKSON AVENUE, BROOKLYN, NY, 11203, USA",-73.944873,40.655735
"ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE",330395,"327 BEACH 19TH STREET","FAR ROCKAWAY","NY",11691,"327 BEACH 19TH STREET, FAR ROCKAWAY, NY, 11691, USA",-73.823574,40.599813
"ST CATHERINE OF SIENA HOSPITAL",330401,"50 ROUTE 25A","SMITHTOWN","NY",11787,"50 ROUTE 25A, SMITHTOWN, NY, 11787, USA",-73.186785,40.85743
"CAROLINAS HEALTHCARE SYSTEM NORTHEAST",340001,"920 CHURCH ST N","CONCORD","NC",28025,"920 CHURCH ST N, CONCORD, NC, 28025, USA",-80.603261,35.434313
"UNC LENOIR HEALTH CARE",340027,"100 AIRPORT RD","KINSTON","NC",28501,"100 AIRPORT RD, KINSTON, NC, 28501, USA",-77.580401,35.290147
"CAROLINAS HEALTHCARE SYSTEM UNION",340130,"600 HOSPITAL DR","MONROE","NC",28112,"600 HOSPITAL DR, MONROE, NC, 28112, USA",-80.522376,34.973796
"GOOD SAMARITAN HOSPITAL",360052,"2222 PHILADELPHIA DRIVE","DAYTON","OH",45406,"2222 PHILADELPHIA DRIVE, DAYTON, OH, 45406, USA",-84.234872,39.787774
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,"4300 WEST MEMORIAL ROAD","OKLAHOMA CITY","OK",73120,"4300 WEST MEMORIAL ROAD, OKLAHOMA CITY, OK, 73120, USA",-97.600915,35.609023
"CONEMAUGH MEMORIAL MEDICAL CENTER",390110,"1086 FRANKLIN STREET","JOHNSTOWN","PA",15905,"1086 FRANKLIN STREET, JOHNSTOWN, PA, 15905, USA",-78.918646,40.305056
